STATION_ID;POSTAL_CODE_ID;POINT_OF_INTEREST_ID;X_KM_COORD_NU;Y_KM_COORD_NU;N_COORD_NU;E_COORD_NU;HEIGHT_ASL_NU;METHODEN_MS_REGION_ID;METHODEN_MM_REGION_ID;METHODEN_ME_REGION_ID
-1;-1;692;821965810;183930969;1183930.929;2821966.823;3106000;238;241;243
-1;-1;693;800953684;186458246;1186458.304;2800954.478;3410000;238;241;243
-1;-1;694;779678829;189816009;1189815.899;2779679.599;2844000;223;229;231
-1;-1;695;804402009;191600420;1191600.470;2804402.779;3312000;238;241;243
-1;-1;696;730972633;192856185;1192855.845;2730973.303;3027000;221;228;231
-1;-1;697;730663794;193511205;1193510.857;2730664.449;3017000;221;228;231
-1;-1;698;810799421;194103230;1194103.213;2810800.330;3230000;238;241;243
-1;-1;699;791907400;195264513;1195264.519;2791908.276;2887000;224;229;231
-1;-1;700;745105889;195890251;1195889.961;2745106.659;3247000;223;229;231
-1;-1;701;798099187;196097242;1196097.305;2798100.084;3109000;224;229;231
-1;-1;702;754561369;196306864;1196306.614;2754562.119;2805000;223;229;231
-1;-1;703;737205842;196773534;1196773.239;2737206.538;3099000;223;229;231
-1;-1;704;812493351;197065768;1197065.769;2812494.294;3398000;238;241;243
-1;-1;705;738073639;198443138;1198442.838;2738074.323;3057000;223;229;231
-1;-1;706;823974683;198591523;1198591.703;2823975.663;3296000;238;241;243
-1;-1;707;785294351;200648460;1200648.456;2785295.163;2826000;223;229;231
-1;-1;708;748261739;202738363;1202738.112;2748262.359;2844000;223;229;231
-1;-1;709;782547458;209640593;1209640.663;2782548.098;2817000;223;229;231
-1;-1;710;772356532;213914685;1213914.595;2772357.183;2965000;223;229;231
-1;-1;711;744170065;234917754;1234917.454;2744170.695;2502000;220;228;231
-1;-1;712;678847220;152324013;1152323.676;2678847.425;3192000;235;240;243
-1;-1;713;683613503;190654204;1190653.984;2683614.163;2929000;219;228;231
-1;-1;714;684764156;189107818;1189107.540;2684764.808;2952000;219;228;231
-1;-1;715;669119263;183678000;1183677.723;2669119.844;2700000;219;228;231
-1;-1;716;682919834;182306999;1182306.638;2682920.420;3198000;219;228;231
-1;-1;717;676311900;180581360;1180581.130;2676312.480;3238000;218;228;231
-1;-1;718;676224213;178371577;1178371.317;2676224.769;2994000;218;228;231
-1;-1;719;667722697;177526415;1177526.173;2667723.215;2580000;218;228;231
-1;-1;720;677741582;172472031;1172471.737;2677742.083;3502000;225;229;231
-1;-1;721;666715341;171543612;1171543.364;2666715.765;2923000;218;228;231
-1;-1;722;648725132;170739301;1170739.173;2648725.420;2928000;218;228;231
-1;-1;723;674987368;167240049;1167239.776;2674987.835;3554000;225;229;231
-1;-1;724;675279464;166767367;1166767.096;2675279.928;3608000;225;229;231
-1;-1;725;662809423;164886410;1164886.145;2662809.812;3277000;218;228;231
-1;-1;726;652075131;160072557;1160072.324;2652075.223;4078000;218;228;231
-1;-1;727;628975661;160252112;1160251.981;2628975.577;2777000;218;228;231
-1;-1;728;661380836;159791894;1159791.655;2661381.035;3247000;218;228;231
-1;-1;729;652864581;159342903;1159342.690;2652864.655;4042000;218;228;231
-1;-1;730;643436194;158638160;1158637.900;2643436.264;3967000;218;228;231
-1;-1;731;642837101;156509532;1156509.301;2642837.110;4107000;218;228;231
-1;-1;732;675815888;155507144;1155506.808;2675816.169;3099000;225;229;231
-1;-1;733;640193777;154077262;1154077.009;2640193.733;4158000;218;228;231
-1;-1;734;629827793;151216828;1151216.760;2629827.615;3436000;218;228;231
-1;-1;735;643603720;111887575;1111887.164;2643603.273;4010000;234;240;243
-1;-1;736;603897101;149529607;1149529.652;2603896.750;2762000;218;228;231
-1;-1;737;637920957;149774420;1149774.174;2637920.814;3892000;218;228;231
-1;-1;738;636213195;148506558;1148506.338;2636213.024;3756000;207;212;214
-1;-1;739;633648945;147561001;1147560.839;2633648.753;3780000;208;212;214
-1;-1;740;642634423;146130770;1146130.420;2642634.280;4193000;207;212;214
-1;-1;741;639030437;144595917;1144595.712;2639030.225;3797000;207;212;214
-1;-1;742;643573094;143457771;1143457.484;2643572.899;3740000;207;212;214
-1;-1;743;618433374;141982396;1141982.406;2618432.994;3630000;218;228;231
-1;-1;744;619595142;141540286;1141540.273;2619594.780;3698000;218;228;231
-1;-1;745;667692898;137608316;1137607.820;2667692.880;3236000;234;240;243
